ux_principle,category,description,implementation,hierarchy_level,wcag_level,impact_score
clear_hierarchy,information_design,establish visual importance through size/color/position,heading hierarchy+visual_weight+spacing,primary,AAA,9
accessible_forms,inclusive_design,labels+errors+focus states for all users,label_visibility+error_messages+focus_indicators,form,AA,8
consistent_navigation,usability,same nav structure across all screens,fixed_nav_patterns+predictable_locations,global,AA,7
feedback_systems,interaction_design,immediate visual feedback for actions,loading_states+success_errors+progress,interaction,AA,6
error_prevention,user_experience,prevent errors before they occur,validation+confirmation+undo_options,form,AA,7
mobile_optimization,responsive_design,optimize for touch and small screens,touch_targets+spacing+responsive_layout,viewport,AA,8
progressive_disclosure,cognitive_load,reveal complexity progressively,expandable_content+guided_tours+steps,information,AAA,5
sufficient_contrast,visual_accessibility,4.5:1 contrast for text,WCAG_contrast_check+color_pairs,visual,AA,9
touch_targets,mobile_accessibility,48px minimum touch size,min_height_width+spacing,interaction,AA,7
keyboard_navigation,accessibility,complete keyboard functionality,focus_management+shortcuts+tab_order,global,AAA,8
screen_reader_ready,accessibility,semantic HTML and ARIA labels,semantic_markup+aria_attributes+alt_text,content,AAA,7
color_independence,accessibility,information not dependent on color,text_labels+patterns+icons,visual,AA,6
motion_control,inclusive_design,user control over animations,pause_controls+reduce_motion_preferences,interaction,AAA,4
cognitive_simplification,cognitive_accessibility,simple language and clear instructions,plain_language+step_guidance+examples,content,AAA,7
task_completion,usability,clear paths to goal completion,defined_steps+progress_indicators+completion_states,workflow,AA,8
information_density,cognitive_load,balance content and whitespace,grouping+chunking+visual_breaks,content,AA,6
personalization,user_experience,adapt to user preferences,preferences+customization+adaptive_content,user,AAA,5
cross_platform_consistency,multi_device,similar experience across platforms,consistent_patterns+synced_state,global,AA,6
performance_optimization,technical_usability,fast load and response times,lazy_loading+caching+optimization,technical,AA,8
onboarding_flow,first_time_experience,guide new users effectively,tutorials+empty_states+progressive_features,onboarding,AA,7
cross_device_sync,multi_device,consistent experience across devices,sync_state+responsive_adapt+device_optimization,global,AA,6
error_recovery,error_handling,clear recovery paths from errors,error_messages+undo_actions+alternative_paths,error,AA,8
user_control,user_experience,give users control over actions,undo+cancel+confirmation_dialogs,interaction,AA,7
predictable_behavior,usability,consistent and expected behavior,predictable_responses+status_feedback+clear_states,global,AA,8
contextual_help,information_design,help available when needed,inline_help+tooltip+contextual_tips,content,AA,6
efficient_input,input_design,minimize user input effort,smart_defaults+autocomplete+suggestions,form,AA,7
flexible_paths,usability,multiple ways to complete tasks,alternative_paths+shortcuts+bulk_actions,workflow,AA,6
consistent_language,information_design,use consistent terminology,standard_terms+consistent_labels+glossary,content,AA,7
visual_feedback,interaction_design,immediate response to interaction,state_changes+hover+loading_indicators,interaction,AA,7
accessible_media,inclusive_design,make all media accessible,captions+transcripts+alternative_text,media,AAA,8
time_limits,inclusive_design,allow sufficient time for tasks,extended_time+pause+no_timeout,interaction,AAA,7
bypass_blocks,navigation,skip repetitive content blocks,skip_links+expand_collapse+hidden_sections,navigation,AAA,6
focus_visible,accessibility,visible focus indicators,focus_styles+outline+highlight,focus,AA,9
focus_order,accessibility,logical focus sequence,tab_order+focus_management+logical_flow,navigation,AAA,7
on_input,accessibility,context changes on request only,no_surprise_changes+user_control+confirmation,interaction,AAA,6
multiple_ways,navigation,at least two navigation methods,multiple_paths+search+menu+breadcrumbs,navigation,AAA,5
headings_labels,information_design,descriptive headings and labels,clear_titles+section_labels+descriptive_text,content,AA,7
reading_level,cognitive_accessibility,lower secondary education level,simple_language+glossary+explanations,content,AAA,6
pronunciation,cognitive_accessibility,clear pronunciation guidance,pronunciation_keys+phonetic+audio_guide,content,AAA,5
abbreviations,information_design,explain abbreviations,expansion_on_first_use+glossary+tooltip,content,AAA,4
consistent_id,information_design,consistent identification,consistent_labels+names+icons,content,AA,6
